,0,1
vanilla_linearsvc,60.555555555555564,0.4462962962962963
vanilla_svc,59.62962962962963,0.4962962962962963
vanilla_svc_rbf,55.92592592592591,0.4148148148148148
vanilla_svc_poly,57.96296296296295,0.49074074074074076
svc_rbf_gamma_0.1,56.11111111111112,0.44074074074074077
svc_rbf_gamma_0.2,59.25925925925927,0.5
svc_rbf_gamma_0.3,58.51851851851851,0.5037037037037037
svc_rbf_gamma_0.4,55.74074074074073,0.4222222222222222
svc_rbf_gamma_0.5,58.70370370370372,0.4592592592592593
svc_rbf_gamma_0.6,56.11111111111112,0.49259259259259264
svc_rbf_gamma_0.7,54.44444444444444,0.44999999999999996
svc_rbf_gamma_0.8,56.85185185185184,0.49259259259259264
svc_rbf_gamma_0.9,56.666666666666664,0.4666666666666667
svc_rbf_gamma_1.0,56.851851851851855,0.46851851851851856
svc_rbf_gamma_2.0,56.851851851851855,0.5388888888888889
svc_rbf_gamma_3.0,59.44444444444444,0.5333333333333333
svc_rbf_gamma_4.0,59.62962962962963,0.5666666666666667
svc_rbf_gamma_5.0,57.03703703703703,0.5333333333333333
svc_rbf_gamma_6.0,59.25925925925927,0.5666666666666667
svc_rbf_gamma_7.0,58.70370370370372,0.5
svc_rbf_gamma_8.0,55.925925925925924,0.5333333333333333
svc_rbf_gamma_9.0,59.44444444444444,0.4666666666666667
svc_rbf_gamma_10.0,55.00000000000001,0.5
svc_rbf_gamma_20.0,59.074074074074055,0.5
svc_rbf_gamma_30.0,57.77777777777777,0.5
svc_rbf_gamma_40.0,56.48148148148149,0.5333333333333333
svc_rbf_gamma_50.0,57.407407407407405,0.5
svc_rbf_gamma_60.0,58.518518518518526,0.5333333333333333
svc_rbf_gamma_70.0,57.03703703703703,0.43333333333333335
svc_rbf_gamma_80.0,59.44444444444444,0.5
svc_rbf_gamma_90.0,57.22222222222222,0.4666666666666667
svc_rbf_gamma_100.0,55.37037037037037,0.6666666666666666
svc_rbf_gamma_200.0,58.333333333333336,0.5666666666666667
svc_rbf_gamma_300.0,59.814814814814824,0.5333333333333333
svc_rbf_gamma_400.0,59.62962962962963,0.5
svc_rbf_gamma_500.0,60.74074074074074,0.5
svc_rbf_gamma_600.0,58.333333333333336,0.5333333333333333
svc_rbf_gamma_700.0,57.03703703703703,0.5333333333333333
svc_rbf_gamma_800.0,60.37037037037039,0.4666666666666667
